name,N,rMax_kpc,amp,newtonAmp,rms_fw,rel_rms_fw,sigma_rms_fw,chi2nu_fw,max_sigma_fw,frac_fw_within_1sigma,frac_fw_within_2sigma,frac_fw_within_3sigma,rms_mond,rel_rms_mond,sigma_rms_mond,chi2nu_mond,max_sigma_mond,frac_mond_within_1sigma,frac_mond_within_2sigma,frac_mond_within_3sigma,rms_newton,rel_rms_newton,sigma_rms_newton,chi2nu_newton,max_sigma_newton,delta_sigma_mond_minus_fw,winner_by_sigma,r4,r5,R5-r4,r5r4rmax,r5-r4*rmax*rho4*amp,edge_width_pct,outer_extension_pct,edge_bounded_1pct,edge_bounded_5pct,edge_bounded_10pct,has_mond_components,has_bulge_component,remap_on,remap_delta,remap_rc,n_remapped,max_remap_kpc,mond_disk_ml,mond_bulge_ml,mond_g_dagger_m_s2
UGC12632,15,10.66,104.591,40.04,1.262,0.01952,0.436,0.19,1.392,0.93333,1,1,7.647,0.10826,2.663,7.093,5.809,0.4,0.66667,0.66667,2.341,0.05769,0.679,0.494,1.466,2.227,framework,0.97,1,0.03,0.3198,,2.992,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4559,32,20.97,104.904,59.176,1.642,0.01918,0.291,0.085,0.527,1,1,1,18.622,0.16946,3.725,13.876,5.485,0,0.125,0.15625,8.59,0.08071,1.545,2.465,3.253,3.434,framework,0.971,0.986,0.015,0.31455,,1.5,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC02953,115,62.39,417.5,214.7,7.763,0.02737,2.564,6.574,9.669,0.48696,0.73913,0.82609,30.736,0.11685,14.183,201.153,62.471,0.26087,0.28696,0.33913,79.905,0.29693,26.454,705.942,115.233,11.619,framework,0.995,1,0.005,0.31195,,0.5,0,1,1,1,1,1,1,0.032,0.1,54,1.939,0.5,0.7,0
UGC07524,31,10.69,104.416,41.548,1.019,0.02003,0.314,0.099,0.78,1,1,1,7.345,0.12739,2.3,5.292,7.078,0.6129,0.67742,0.74194,2.995,0.11921,0.914,0.864,2.782,1.986,framework,0.969,0.998,0.029,0.31001,,2.858,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4389,6,5.32,104.249,43.376,1.695,0.01862,0.232,0.054,0.485,1,1,1,47.324,0.93942,7.349,54.006,8.303,0,0,0,10.611,0.26614,1.628,3.179,2.852,7.117,framework,0.96,1.018,0.058,0.30856,,5.745,1.753,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC0891,18,17.11,271.019,125.925,3.797,0.01747,1.023,1.047,2.298,0.72222,0.94444,1,29.286,0.14028,5.852,34.246,10.431,0.05556,0.05556,0.11111,39.542,0.1787,7.065,52.85,11.86,4.829,framework,0.982,1,0.018,0.30798,,1.8,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC07608,8,4.78,103.928,34.985,0.971,0.01792,0.145,0.021,0.285,1,1,1,7.67,0.19873,1.146,1.314,1.386,0.375,1,1,5.496,0.31059,0.822,0.771,1.852,1.001,framework,0.96,1.022,0.062,0.29636,,6.2,2.2,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC03546,30,29.23,615.094,177.558,11.714,0.05201,2.899,8.407,9.348,0.63333,0.76667,0.83333,29.629,0.12704,3.494,12.207,10.562,0.16667,0.5,0.66667,87.695,0.38351,8.604,76.586,17.991,0.594,framework,0.99,1,0.01,0.2923,,1,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
NGC2403,73,20.87,919.969,154.896,6.008,0.11087,4.805,23.091,17.934,0.46575,0.65753,0.75342,6.411,0.05654,8.697,75.638,40.068,0.16438,0.42466,0.60274,17.982,0.17073,15.233,235.266,61.421,3.892,framework,0.988,1.002,0.014,0.29218,,1.447,0.215,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05005,11,28.61,202.764,61.787,1.201,0.04324,0.125,0.016,0.241,1,1,1,15.28,0.34457,1.568,2.46,2.714,0.18182,0.81818,1,4.565,0.2358,0.467,0.24,1.34,1.443,framework,0.99,1,0.01,0.2861,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC09037,22,27.96,104.78,67.578,3.09,0.02175,0.344,0.118,0.89,1,1,1,37.527,0.33679,6.755,45.632,12.617,0,0,0.13636,8.564,0.07492,0.994,1.035,2.557,6.412,framework,0.99,1,0.01,0.2796,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC11914,65,9.83,218.857,142.932,5.266,0.02279,0.97,0.941,4.092,0.78462,0.95385,0.98462,34.979,0.12272,8.356,69.815,29.122,0.06154,0.13846,0.27692,39.804,0.14488,9.365,89.074,33.266,7.385,framework,0.97,0.998,0.028,0.27524,,2.8,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC02259,8,8.14,100.587,46.119,0.817,0.00974,0.315,0.099,0.634,1,1,1,13.737,0.19726,6.754,45.617,11.969,0,0,0.25,5.327,0.07299,2.565,7.52,4.761,6.439,framework,0.967,1,0.033,0.26862,,3.256,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC11557,12,10.56,104.746,42.332,2.525,0.12947,0.334,0.112,0.836,1,1,1,34.189,1.77621,4.525,20.471,6.421,0,0,0.08333,8.068,1.09802,0.989,1.066,1.861,4.19,framework,0.987,1.012,0.025,0.264,,2.484,1.179,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07690,7,4.13,103.161,37.758,0.587,0.01049,0.136,0.019,0.336,1,1,1,6.176,0.10855,1.433,2.053,2.419,0.57143,0.71429,1,7.548,0.13619,1.751,3.578,2.754,1.297,framework,0.967,1.03,0.063,0.26019,,6.235,2.962,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC08699,41,25.7,990.922,240.902,14.82,0.09391,0.822,0.676,2.087,0.82927,0.97561,1,13.602,0.07534,2.538,6.444,5.653,0.19512,0.56098,0.7561,54.68,0.29732,11.81,142.975,35.205,1.716,framework,0.964,0.974,0.01,0.257,,1,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC06628,7,7.69,101.468,29.721,0.601,0.0143,0.073,0.005,0.183,1,1,1,33.422,0.80848,4.041,16.332,6.214,0,0.28571,0.42857,3.31,0.08655,0.4,0.187,0.678,3.969,framework,0.98,1.011,0.031,0.23839,,3.1,1.1,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC04499,9,8.18,103.432,39.829,0.838,0.01238,0.31,0.096,0.622,1,1,1,8.9,0.19335,3.079,9.479,5.175,0.11111,0.22222,0.77778,2.83,0.0976,0.773,0.673,1.807,2.768,framework,0.971,1,0.029,0.23722,,2.944,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC0055,21,13.5,104.748,44.473,0.875,0.01493,0.304,0.093,0.659,1,1,1,17.39,0.27629,7.15,51.127,19.272,0,0,0.14286,3.706,0.08576,1.738,3.172,5.435,6.846,framework,0.997,1.014,0.017,0.2295,,1.742,1.442,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
PGC51017,6,3.63,103.751,18.836,0.179,0.00891,0.073,0.005,0.151,1,1,1,21.558,1.15555,11.464,131.427,15.24,0.16667,0.16667,0.16667,4.598,0.2298,1.701,3.473,2.675,11.392,framework,0.937,1,0.063,0.22869,,6.32,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4100,24,22.76,104.918,78.822,2.559,0.01506,0.39,0.152,1.157,0.91667,1,1,10.537,0.06256,1.842,3.393,3.974,0.41667,0.66667,0.91667,23.492,0.13955,3.624,13.702,6.412,1.452,framework,1.022,1.032,0.01,0.2276,,1,3.236,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
MilkyWay,21,28,1267,273.2,1.463,0.00662,0.308,0.095,0.588,1,1,1,,,,,,,,,50.126,0.24656,6.098,39.047,8.616,,framework,0.992,1,0.008,0.224,,0.8,0,1,1,1,0,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC05999,5,16.22,103.615,46.623,1.173,0.01197,0.235,0.055,0.509,1,1,1,12.041,0.18665,2.408,5.799,3.933,0.4,0.6,0.6,5.312,0.1101,1.062,1.411,2.231,2.174,framework,0.976,0.989,0.013,0.21086,,1.33,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05829,11,6.91,104.651,33.837,1.107,0.0267,0.219,0.048,0.365,1,1,1,8.557,0.14512,1.691,2.86,2.802,0.45455,0.63636,1,4.567,0.17665,0.903,0.896,1.569,1.472,framework,0.97,1,0.03,0.2073,,3,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC6946,58,20.4,686,177.597,10.793,0.07066,1.623,2.633,9.78,0.75862,0.93103,0.96552,16.454,0.10351,5.064,25.645,12.523,0.03448,0.27586,0.55172,37.84,0.24394,7.671,59.869,22.99,3.441,framework,0.99,1,0.01,0.204,,1,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC02455,8,4.03,103.626,29.215,0.505,0.01279,0.139,0.019,0.234,1,1,1,40.729,1.2822,11.189,125.2,13.502,0,0,0,5.783,0.16012,1.589,2.885,3.195,11.051,framework,0.951,1,0.049,0.19747,,4.875,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F565-V2,7,8.8,102.492,40.218,1.148,0.0143,0.19,0.036,0.483,1,1,1,6.942,0.13197,1.046,1.094,1.561,0.42857,1,1,6.796,0.26637,0.717,0.599,1.427,0.856,framework,0.985,1.007,0.022,0.1936,,2.265,0.749,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC02023,5,3.78,101.688,28.751,0.566,0.01138,0.065,0.004,0.124,1,1,1,13.906,0.51575,1.6,2.561,2.011,0.2,0.6,1,7.065,0.31235,0.813,0.826,1.181,1.535,framework,0.942,0.993,0.051,0.19278,,5.1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3893,10,19.05,104.968,82.758,3.703,0.02323,0.533,0.284,1.202,0.9,1,1,6.694,0.04014,0.946,0.895,1.877,0.7,1,1,25.028,0.1444,2.628,7.677,3.748,0.413,framework,0.97,0.98,0.01,0.1905,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06917,11,10.47,104.884,50.968,0.991,0.00997,0.191,0.036,0.462,1,1,1,4.713,0.05313,1.199,1.438,2.176,0.54545,0.90909,1,2.739,0.02994,0.683,0.513,1.178,1.009,framework,0.984,1.002,0.018,0.18846,,1.788,0.228,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06667,9,7.85,772.57,85.982,1.638,0.03009,0.46,0.212,0.924,1,1,1,16.743,0.28115,5.164,26.662,7.279,0,0,0.11111,4.617,0.11027,1.313,1.939,1.906,4.703,framework,0.994,1.018,0.024,0.1884,,2.4,1.8,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07125,13,18.68,104.873,39.074,1.071,0.02023,0.363,0.132,0.788,1,1,1,30.682,0.5201,11.937,142.488,17.74,0,0,0,3.202,0.06228,1.09,1.286,1.719,11.574,framework,0.99,1,0.01,0.1868,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
D564-8,6,3.07,220.852,23.4,0.071,0.00313,0.037,0.001,0.066,1,1,1,7.158,0.4938,4.278,18.299,5.658,0,0,0,1.893,0.13654,1.063,1.356,1.607,4.24,framework,0.94,1,0.06,0.1842,,6,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3949,7,7.07,104.852,68.423,1.262,0.00764,0.094,0.009,0.132,1,1,1,9.522,0.06354,1.503,2.26,2.797,0.42857,0.85714,1,6.516,0.04096,0.739,0.638,1.226,1.409,framework,0.974,1,0.026,0.18382,,2.623,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
