name,N,rMax_kpc,amp,newtonAmp,rms_fw,rel_rms_fw,sigma_rms_fw,chi2nu_fw,max_sigma_fw,frac_fw_within_1sigma,frac_fw_within_2sigma,frac_fw_within_3sigma,rms_mond,rel_rms_mond,sigma_rms_mond,chi2nu_mond,max_sigma_mond,frac_mond_within_1sigma,frac_mond_within_2sigma,frac_mond_within_3sigma,rms_newton,rel_rms_newton,sigma_rms_newton,chi2nu_newton,max_sigma_newton,delta_sigma_mond_minus_fw,winner_by_sigma,r4,r5,R5-r4,r5r4rmax,r5-r4*rmax*rho4*amp,edge_width_pct,outer_extension_pct,edge_bounded_1pct,edge_bounded_5pct,edge_bounded_10pct,has_mond_components,has_bulge_component,remap_on,remap_delta,remap_rc,n_remapped,max_remap_kpc,mond_disk_ml,mond_bulge_ml,mond_g_dagger_m_s2
UGC01230,11,36.54,104.69,57.683,1.092,0.02864,0.099,0.01,0.186,1,1,1,19.793,0.25209,1.921,3.689,3.271,0.36364,0.63636,0.81818,15.875,0.24392,1.49,2.442,2.32,1.822,framework,0.913,1.033,0.12,4.3848,,12,3.3,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4013,36,31.01,104.752,78.095,4.382,0.02527,0.749,0.562,1.675,0.75,1,1,13.492,0.07791,2.736,7.484,5.748,0.27778,0.55556,0.69444,24.468,0.1329,5.329,29.207,12.968,1.986,framework,0.86,1,0.14,4.3414,,13.991,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC05253,73,53.29,259.5,180.9,4.136,0.01718,1.241,1.54,3.046,0.60274,0.87671,0.9863,15.259,0.0657,2.63,6.918,10.071,0.65753,0.79452,0.86301,53.484,0.23599,14.238,205.549,51.007,1.389,framework,0.966,1.04,0.074,3.94346,,7.4,4,0,1,1,1,1,1,0.058,0.258,58,3.033,0.5,0.7,0
NGC3769,12,37.16,104.483,70.771,4.364,0.04325,0.512,0.263,1.032,0.91667,1,1,15.473,0.14348,2.157,4.654,3.341,0.08333,0.5,0.83333,21.673,0.18676,2.53,6.982,3.86,1.645,framework,0.895,1,0.105,3.9018,,10.511,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC09133,68,108.31,1270,257.964,4.525,0.0182,2.205,4.862,7.514,0.63235,0.76471,0.88235,21.18,0.08204,8.265,68.305,32.461,0.26471,0.5,0.58824,111.09,0.39767,27.072,743.819,91.51,6.06,framework,0.97,1,0.03,3.2493,,3,0,1,1,1,1,1,1,0.036,0.35,45,3.834,0.5,0.7,0
NGC3726,12,32.52,104.47,74.757,4.349,0.02752,0.591,0.349,1.148,0.91667,1,1,25.485,0.17987,4.998,24.978,9.037,0.16667,0.25,0.25,15.779,0.09831,2.664,7.742,5.196,4.407,framework,0.905,1,0.095,3.0894,,9.461,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05750,11,22.85,104.833,41.994,0.268,0.03015,0.032,0.001,0.067,1,1,1,15.398,0.81622,1.792,3.211,3.168,0.09091,0.72727,0.90909,7.105,0.98422,0.972,1.04,2.165,1.76,framework,0.873,0.964,0.091,2.07935,,9.043,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC2955,24,35.43,1372.062,362.774,10.419,0.04608,1.915,3.667,6.536,0.54167,0.83333,0.91667,20.768,0.08686,2.821,7.958,5.931,0.41667,0.58333,0.66667,73.623,0.29884,7.876,64.735,15.309,0.906,framework,0.974,1.032,0.058,2.05494,,5.8,3.2,0,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
F563-1,17,20.1,104.728,52.887,2.323,0.04931,0.234,0.055,0.54,1,1,1,18.48,0.22789,1.667,2.778,4.038,0.35294,0.82353,0.94118,8.338,0.21969,0.897,0.856,2.527,1.433,framework,0.95,1.029,0.079,1.5879,,7.82,2.859,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC0300,25,11.8,104.306,47.756,5.881,0.06591,1.098,1.206,3.02,0.72,0.92,0.96,5.664,0.0741,1.551,2.406,5.137,0.64,0.88,0.92,3.802,0.06043,0.831,0.72,2.136,0.453,newtonian,0.87,1,0.13,1.534,,13.03,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC02916,43,38,1081.627,322.987,10.563,0.05684,1.113,1.238,4.036,0.72093,0.88372,0.97674,28.127,0.14259,8.693,75.571,26.033,0.2093,0.39535,0.44186,69.256,0.35418,13.882,197.298,47.828,7.58,framework,0.976,1.016,0.04,1.52,,4,1.6,0,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC02487,17,80.38,862,255.168,5.907,0.01656,1.37,1.876,2.511,0.52941,0.76471,1,62.852,0.17329,16.175,261.62,34.378,0,0,0,87.606,0.23546,13.88,204.687,28.993,14.805,framework,0.982,1,0.018,1.44684,,1.8,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC11455,36,41.93,833.861,225.76,7.267,0.04267,1.08,1.166,2.448,0.58333,0.97222,1,15.234,0.18197,2.606,6.793,7.422,0.47222,0.69444,0.75,32.347,0.18907,4.985,25.562,9.374,1.526,framework,0.969,1,0.031,1.29983,,3.146,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F574-2,5,10.83,102.7,24.516,0.428,0.0156,0.052,0.003,0.101,1,1,1,38.698,1.371,4.7,22.091,6.445,0,0,0.4,3.603,0.2368,0.383,0.183,0.631,4.648,framework,0.917,1.035,0.118,1.27794,,11.8,3.5,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3198,43,44.08,419.144,131.441,4.469,0.08333,1.304,1.701,3.077,0.60465,0.86047,0.97674,10.905,0.22394,3.662,13.409,8.177,0.44186,0.65116,0.72093,24.198,0.17782,12.818,168.209,33.95,2.358,framework,0.988,1.016,0.028,1.23424,,2.8,1.6,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC7793,46,7.87,104.989,54.754,2.428,0.1026,0.329,0.108,1.118,0.97826,1,1,5.98,0.286,0.954,0.911,2.798,0.76087,0.95652,1,7.818,0.32389,1.219,1.519,3.958,0.625,framework,0.875,1.03,0.155,1.21985,,15.47,2.997,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC2903,34,24.96,368.421,147.587,6.894,0.05839,1.937,3.753,4.699,0.32353,0.61765,0.91176,23.584,0.44372,3.55,12.604,12.137,0.29412,0.61765,0.67647,44.247,0.25094,13.61,190.847,25.827,1.613,framework,0.996,1.038,0.042,1.04832,,4.2,3.8,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06787,71,37.19,603.23,215.1,12.562,0.07892,2.326,5.409,11.041,0.60563,0.85915,0.90141,29.824,0.12396,14.145,200.085,59.023,0.19718,0.28169,0.3662,73.659,0.29615,18.619,351.618,49.477,11.819,framework,0.974,1,0.026,0.96694,,2.6,0,1,1,1,1,1,1,0.014,0.28,49,0.509,0.5,0.7,0
NGC0801,13,59.82,238.88,125.808,8.747,0.04419,1.492,2.225,4.352,0.61538,0.92308,0.92308,34.998,0.1659,9.321,86.877,19.139,0,0,0.07692,56.569,0.26793,10.177,112.199,16.679,7.829,framework,0.996,1.01,0.014,0.83748,,1.4,1,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC5371,19,46.24,212.005,123.52,9.182,0.04252,2.401,5.765,5.116,0.31579,0.57895,0.78947,44.111,0.20129,13.065,170.683,21.921,0.05263,0.15789,0.15789,48.881,0.22719,11.091,129.851,15.083,10.663,framework,0.982,1,0.018,0.83232,,1.8,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F568-3,18,17.98,679.506,92.604,1.629,0.04889,0.194,0.037,0.496,1,1,1,7.985,0.26019,1.668,2.781,5.428,0.55556,0.94444,0.94444,12.568,0.31396,1.94,3.984,4.786,1.474,framework,0.952,0.998,0.046,0.82708,,4.6,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC03580,47,27.06,767.081,136.527,8.226,0.12458,2.06,4.242,5.294,0.38298,0.65957,0.85106,26.033,0.34719,9.356,87.538,16.549,0.08511,0.21277,0.29787,20.101,0.26415,6.872,48.251,18.294,7.297,framework,0.97,1,0.03,0.8118,,3,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC12506,31,49.99,489.638,171.062,8.491,0.06941,0.446,0.199,1.542,0.96774,1,1,38.685,0.20685,2.812,7.906,5.468,0.25806,0.3871,0.64516,34.312,0.15946,2.595,6.957,4.289,2.365,framework,0.984,1,0.016,0.79984,,1.6,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC02885,19,74.07,1262,279.925,14.444,0.0517,1.444,2.086,4.268,0.84211,0.89474,0.89474,16.837,0.05624,1.684,2.835,6.67,0.78947,0.94737,0.94737,63.903,0.22675,6.39,43.105,18.013,0.239,framework,0.992,1.002,0.01,0.7407,,1,0.2,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
NGC7331,36,36.31,444.499,162.128,5.033,0.02086,1.083,1.173,2.607,0.66667,0.94444,1,25.913,0.10644,5.986,35.83,9.206,0.05556,0.11111,0.19444,49.033,0.19809,9.07,84.61,17.895,4.903,framework,0.98,1,0.02,0.7262,,2,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
M31,42,120,1116,400,12.055,0.05882,0.696,0.484,2.493,0.90476,0.95238,1,,,,,,,,,87.874,0.46165,3.004,9.244,6.776,,framework,0.994,1,0.006,0.72,,0.6,0,1,1,1,0,1,1,0.023,0.1,16,2.66,0.5,0.7,0
NGC2915,30,10.04,104.005,45.388,1.94,0.04396,0.248,0.062,0.591,1,1,1,20.625,0.46796,2.758,7.607,4.091,0.1,0.2,0.6,8.308,0.19623,1.018,1.071,2.517,2.51,framework,0.953,1.023,0.07,0.7028,,7.074,2.343,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC5585,24,10.96,104.178,45.633,2.372,0.08208,1.905,3.627,6.463,0.625,0.875,0.875,8.216,0.20813,5.119,26.207,12.38,0.33333,0.5,0.625,3.51,0.11898,1.758,3.226,3.262,3.215,newtonian,0.963,1.027,0.064,0.70144,,6.343,2.68,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC00128,22,53.75,104.958,64.098,1.927,0.0183,1.443,2.081,2.803,0.54545,0.81818,1,11.716,0.10844,9.847,96.958,17.912,0.04545,0.13636,0.18182,11.888,0.12278,8.255,71.382,15.608,8.404,framework,0.959,0.972,0.013,0.69875,,1.311,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4138,7,18.58,102.934,81.068,1.17,0.00675,0.101,0.01,0.187,1,1,1,9.999,0.05982,1.101,1.213,2.165,0.57143,0.85714,1,34.148,0.21995,2.803,9.164,4.351,1.001,framework,0.949,0.986,0.037,0.68746,,3.633,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC04305,22,5.52,104.427,26.058,1.298,0.1359,0.405,0.164,1.08,0.95455,1,1,26.519,1.02084,8.276,68.492,12.852,0,0,0.31818,4.476,0.53106,1.232,1.591,2.502,7.871,framework,0.881,1,0.119,0.65688,,11.933,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4157,17,29.61,104.807,79.453,3.554,0.02972,0.343,0.117,0.852,1,1,1,21.999,0.13599,3.015,9.088,4.665,0.11765,0.29412,0.58824,23.346,0.12386,2.872,8.762,5.676,2.672,framework,1.017,1.039,0.022,0.65142,,2.2,3.9,0,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC06614,13,64.59,825.946,208.224,2.923,0.01602,0.305,0.093,0.877,1,1,1,29.656,0.16843,3.028,9.17,5.592,0.30769,0.53846,0.61538,34.865,0.17992,2.783,8.388,4.22,2.724,framework,0.99,1,0.01,0.6459,,1,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
NGC6015,44,29.23,2382.503,291.932,4.695,0.03907,1.836,3.372,4.603,0.52273,0.77273,0.90909,11.297,0.09065,5.806,33.711,15.898,0.38636,0.70455,0.72727,41.447,0.2752,13.019,173.434,31.067,3.97,framework,0.978,1,0.022,0.64306,,2.2,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06983,17,15.68,104.861,55.769,1.341,0.01549,0.255,0.065,0.54,1,1,1,9.23,0.09826,1.902,3.619,3.101,0.35294,0.64706,0.94118,8.122,0.08153,1.209,1.554,2.528,1.647,framework,0.995,1.036,0.041,0.64288,,4.045,3.592,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC2841,50,63.64,2031.308,321.721,8.585,0.02934,1.576,2.485,5.034,0.52,0.84,0.94,55.508,0.18173,9.288,86.272,16.004,0,0,0.04,99.938,0.32117,13.06,174.053,26.555,7.712,framework,0.998,1.008,0.01,0.6364,,1,0.8,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
NGC2683,11,34.62,574.14,178.979,11.555,0.06518,1.713,2.934,3.874,0.45455,0.81818,0.81818,14.215,0.08987,1.462,2.138,2.714,0.27273,0.90909,1,54.038,0.32546,6.618,48.178,12.532,-0.251,mond,0.982,1,0.018,0.62316,,1.8,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC12732,16,15.4,104.6,45.801,0.836,0.0112,0.253,0.064,0.835,1,1,1,6.806,0.0879,1.967,3.868,3.859,0.25,0.75,0.8125,2.786,0.04127,0.732,0.572,1.13,1.714,framework,0.991,1.031,0.04,0.616,,4.027,3.109,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC00191,9,9.98,104.857,43.603,1.27,0.03154,0.765,0.585,1.361,0.66667,1,1,7.324,0.10996,5.447,29.669,12.821,0.22222,0.44444,0.66667,5.669,0.09794,2.225,5.57,3.534,4.682,framework,0.871,0.931,0.06,0.5988,,5.949,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06446,17,10.22,104.675,46.451,1.097,0.01434,0.215,0.046,0.444,1,1,1,9.318,0.14081,2.209,4.878,3.764,0.41176,0.52941,0.76471,5.06,0.07402,0.902,0.865,1.761,1.994,framework,0.97,1.028,0.058,0.59276,,5.8,2.8,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC0024,29,11.27,104.955,54.965,1.889,0.05638,0.279,0.078,0.659,1,1,1,20.93,0.23942,3.234,10.461,7.715,0.13793,0.13793,0.65517,16.557,0.24325,2.198,5.004,3.405,2.955,framework,0.953,1.003,0.05,0.5635,,5.095,0.348,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC5055,28,54.59,940.212,245.477,6.439,0.03955,5.221,27.254,18.712,0.32143,0.57143,0.78571,27.638,0.1493,27.754,770.304,69.025,0,0.07143,0.07143,64.744,0.35837,57.189,3391.735,203.046,22.534,framework,0.99,1,0.01,0.5459,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC10310,7,7.74,103.325,40.132,0.795,0.01152,0.157,0.025,0.398,1,1,1,7.972,0.11098,1.576,2.482,2.715,0.57143,0.71429,1,3.307,0.07073,0.654,0.498,1,1.419,framework,0.968,1.037,0.069,0.53406,,6.9,3.7,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3992,9,46.02,1459.662,249.919,5.135,0.02057,0.761,0.579,1.492,0.77778,1,1,19.656,0.07675,3.04,9.241,6.158,0.44444,0.44444,0.66667,41.939,0.16585,6.402,46.106,10.013,2.279,framework,0.991,1.002,0.011,0.50622,,1.093,0.193,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3972,10,8.72,103.721,55.477,1.514,0.01278,0.325,0.106,0.696,1,1,1,6.998,0.10541,1.378,1.899,2.269,0.2,0.9,1,5.436,0.12866,1.107,1.361,3.241,1.053,framework,0.963,1.021,0.058,0.50576,,5.788,2.083,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
